dexNum,id,form,move
1,BULBASAUR,,SWORDS_DANCE
1,BULBASAUR,,BODY_SLAM
1,BULBASAUR,,TAKE_DOWN
1,BULBASAUR,,DOUBLE_EDGE
1,BULBASAUR,,STRENGTH
1,BULBASAUR,,SOLAR_BEAM
1,BULBASAUR,,TOXIC
1,BULBASAUR,,DOUBLE_TEAM
1,BULBASAUR,,LIGHT_SCREEN
1,BULBASAUR,,REFLECT
1,BULBASAUR,,AMNESIA
1,BULBASAUR,,FLASH
1,BULBASAUR,,REST
1,BULBASAUR,,SUBSTITUTE
1,BULBASAUR,,SNORE
1,BULBASAUR,,CURSE
1,BULBASAUR,,PROTECT
1,BULBASAUR,,SLUDGE_BOMB
1,BULBASAUR,,MUD_SLAP
1,BULBASAUR,,OUTRAGE
1,BULBASAUR,,GIGA_DRAIN
1,BULBASAUR,,ENDURE
1,BULBASAUR,,CHARM
1,BULBASAUR,,FALSE_SWIPE
1,BULBASAUR,,SWAGGER
1,BULBASAUR,,ATTRACT
1,BULBASAUR,,SLEEP_TALK
1,BULBASAUR,,RETURN
1,BULBASAUR,,SAFEGUARD
1,BULBASAUR,,SYNTHESIS
1,BULBASAUR,,HIDDEN_POWER
1,BULBASAUR,,SUNNY_DAY
1,BULBASAUR,,ANCIENT_POWER
1,BULBASAUR,,ROCK_SMASH
1,BULBASAUR,,FACADE
1,BULBASAUR,,NATURE_POWER
1,BULBASAUR,,HELPING_HAND
1,BULBASAUR,,KNOCK_OFF
1,BULBASAUR,,SECRET_POWER
1,BULBASAUR,,WEATHER_BALL
1,BULBASAUR,,BULLET_SEED
1,BULBASAUR,,MAGICAL_LEAF
1,BULBASAUR,,WORRY_SEED
1,BULBASAUR,,SEED_BOMB
1,BULBASAUR,,ENERGY_BALL
1,BULBASAUR,,LEAF_STORM
1,BULBASAUR,,POWER_WHIP
1,BULBASAUR,,GRASS_KNOT
1,BULBASAUR,,VENOSHOCK
1,BULBASAUR,,ACID_SPRAY
1,BULBASAUR,,ROUND
1,BULBASAUR,,ECHOED_VOICE
1,BULBASAUR,,GRASS_PLEDGE
1,BULBASAUR,,WORK_UP
1,BULBASAUR,,GRASSY_TERRAIN
1,BULBASAUR,,CONFIDE
1,BULBASAUR,,GRASSY_GLIDE
1,BULBASAUR,,TERA_BLAST
1,BULBASAUR,,TRAILBLAZE
2,IVYSAUR,,ROAR
2,IVYSAUR,,SWORDS_DANCE
2,IVYSAUR,,BODY_SLAM
2,IVYSAUR,,TAKE_DOWN
2,IVYSAUR,,DOUBLE_EDGE
2,IVYSAUR,,STRENGTH
2,IVYSAUR,,SOLAR_BEAM
2,IVYSAUR,,TOXIC
2,IVYSAUR,,DOUBLE_TEAM
2,IVYSAUR,,LIGHT_SCREEN
2,IVYSAUR,,REFLECT
2,IVYSAUR,,AMNESIA
2,IVYSAUR,,FLASH
2,IVYSAUR,,REST
2,IVYSAUR,,SUBSTITUTE
2,IVYSAUR,,SNORE
2,IVYSAUR,,CURSE
2,IVYSAUR,,PROTECT
2,IVYSAUR,,SLUDGE_BOMB
2,IVYSAUR,,MUD_SLAP
2,IVYSAUR,,OUTRAGE
2,IVYSAUR,,GIGA_DRAIN
2,IVYSAUR,,ENDURE
2,IVYSAUR,,CHARM
2,IVYSAUR,,FALSE_SWIPE
2,IVYSAUR,,SWAGGER
2,IVYSAUR,,ATTRACT
2,IVYSAUR,,SLEEP_TALK
2,IVYSAUR,,RETURN
2,IVYSAUR,,SAFEGUARD
2,IVYSAUR,,SYNTHESIS
2,IVYSAUR,,HIDDEN_POWER
2,IVYSAUR,,SUNNY_DAY
2,IVYSAUR,,ANCIENT_POWER
2,IVYSAUR,,ROCK_SMASH
2,IVYSAUR,,FACADE
2,IVYSAUR,,NATURE_POWER
2,IVYSAUR,,HELPING_HAND
2,IVYSAUR,,KNOCK_OFF
2,IVYSAUR,,SECRET_POWER
2,IVYSAUR,,WEATHER_BALL
2,IVYSAUR,,BULLET_SEED
2,IVYSAUR,,MAGICAL_LEAF
2,IVYSAUR,,WORRY_SEED
2,IVYSAUR,,SEED_BOMB
2,IVYSAUR,,ENERGY_BALL
2,IVYSAUR,,LEAF_STORM
2,IVYSAUR,,POWER_WHIP
2,IVYSAUR,,GRASS_KNOT
2,IVYSAUR,,VENOSHOCK
2,IVYSAUR,,ACID_SPRAY
2,IVYSAUR,,ROUND
2,IVYSAUR,,ECHOED_VOICE
2,IVYSAUR,,GRASS_PLEDGE
2,IVYSAUR,,WORK_UP
2,IVYSAUR,,GRASSY_TERRAIN
2,IVYSAUR,,CONFIDE
2,IVYSAUR,,GRASSY_GLIDE
2,IVYSAUR,,TERA_BLAST
2,IVYSAUR,,TRAILBLAZE
3,VENUSAUR,,HYPER_BEAM
3,VENUSAUR,,EARTHQUAKE
3,VENUSAUR,,SCARY_FACE
3,VENUSAUR,,FRENZY_PLANT
3,VENUSAUR,,POISON_JAB
3,VENUSAUR,,EARTH_POWER
3,VENUSAUR,,GIGA_IMPACT
3,VENUSAUR,,ROCK_CLIMB
3,VENUSAUR,,BULLDOZE
3,VENUSAUR,,PETAL_BLIZZARD
3,VENUSAUR,,STOMPING_TANTRUM
3,VENUSAUR,,TERRAIN_PULSE
3,VENUSAUR,,ROAR
3,VENUSAUR,,SWORDS_DANCE
3,VENUSAUR,,BODY_SLAM
3,VENUSAUR,,TAKE_DOWN
3,VENUSAUR,,DOUBLE_EDGE
3,VENUSAUR,,STRENGTH
3,VENUSAUR,,SOLAR_BEAM
3,VENUSAUR,,TOXIC
3,VENUSAUR,,DOUBLE_TEAM
3,VENUSAUR,,LIGHT_SCREEN
3,VENUSAUR,,REFLECT
3,VENUSAUR,,AMNESIA
3,VENUSAUR,,FLASH
3,VENUSAUR,,REST
3,VENUSAUR,,SUBSTITUTE
3,VENUSAUR,,SNORE
3,VENUSAUR,,CURSE
3,VENUSAUR,,PROTECT
3,VENUSAUR,,SLUDGE_BOMB
3,VENUSAUR,,MUD_SLAP
3,VENUSAUR,,OUTRAGE
3,VENUSAUR,,GIGA_DRAIN
3,VENUSAUR,,ENDURE
3,VENUSAUR,,CHARM
3,VENUSAUR,,FALSE_SWIPE
3,VENUSAUR,,SWAGGER
3,VENUSAUR,,ATTRACT
3,VENUSAUR,,SLEEP_TALK
3,VENUSAUR,,RETURN
3,VENUSAUR,,SAFEGUARD
3,VENUSAUR,,SYNTHESIS
3,VENUSAUR,,HIDDEN_POWER
3,VENUSAUR,,SUNNY_DAY
3,VENUSAUR,,ANCIENT_POWER
3,VENUSAUR,,ROCK_SMASH
3,VENUSAUR,,FACADE
3,VENUSAUR,,NATURE_POWER
3,VENUSAUR,,HELPING_HAND
3,VENUSAUR,,KNOCK_OFF
3,VENUSAUR,,SECRET_POWER
3,VENUSAUR,,WEATHER_BALL
3,VENUSAUR,,BULLET_SEED
3,VENUSAUR,,MAGICAL_LEAF
3,VENUSAUR,,WORRY_SEED
3,VENUSAUR,,SEED_BOMB
3,VENUSAUR,,ENERGY_BALL
3,VENUSAUR,,LEAF_STORM
3,VENUSAUR,,POWER_WHIP
3,VENUSAUR,,GRASS_KNOT
3,VENUSAUR,,VENOSHOCK
3,VENUSAUR,,ACID_SPRAY
3,VENUSAUR,,ROUND
3,VENUSAUR,,ECHOED_VOICE
3,VENUSAUR,,GRASS_PLEDGE
3,VENUSAUR,,WORK_UP
