dexNum,id,form,level,move
1,BULBASAUR,,1,TACKLE
1,BULBASAUR,,1,GROWL
1,BULBASAUR,,3,VINE_WHIP
1,BULBASAUR,,6,GROWTH
1,BULBASAUR,,9,LEECH_SEED
1,BULBASAUR,,12,RAZOR_LEAF
1,BULBASAUR,,15,POISON_POWDER
1,BULBASAUR,,15,SLEEP_POWDER
1,BULBASAUR,,18,SEED_BOMB
1,BULBASAUR,,21,TAKE_DOWN
1,BULBASAUR,,24,SWEET_SCENT
1,BULBASAUR,,27,SYNTHESIS
1,BULBASAUR,,30,WORRY_SEED
1,BULBASAUR,,33,POWER_WHIP
1,BULBASAUR,,36,SOLAR_BEAM
2,IVYSAUR,,1,VINE_WHIP
2,IVYSAUR,,1,TACKLE
2,IVYSAUR,,1,GROWL
2,IVYSAUR,,1,GROWTH
2,IVYSAUR,,9,LEECH_SEED
2,IVYSAUR,,12,RAZOR_LEAF
2,IVYSAUR,,15,POISON_POWDER
2,IVYSAUR,,15,SLEEP_POWDER
2,IVYSAUR,,20,SEED_BOMB
2,IVYSAUR,,25,TAKE_DOWN
2,IVYSAUR,,30,SWEET_SCENT
2,IVYSAUR,,35,SYNTHESIS
2,IVYSAUR,,40,WORRY_SEED
2,IVYSAUR,,45,POWER_WHIP
2,IVYSAUR,,50,SOLAR_BEAM
3,VENUSAUR,,EVOLVE_MOVE,PETAL_BLIZZARD
3,VENUSAUR,,1,GROWTH
3,VENUSAUR,,1,PETAL_DANCE
3,VENUSAUR,,1,VINE_WHIP
3,VENUSAUR,,1,TACKLE
3,VENUSAUR,,1,GROWL
3,VENUSAUR,,9,LEECH_SEED
3,VENUSAUR,,12,RAZOR_LEAF
3,VENUSAUR,,15,POISON_POWDER
3,VENUSAUR,,15,SLEEP_POWDER
3,VENUSAUR,,20,SEED_BOMB
3,VENUSAUR,,25,TAKE_DOWN
3,VENUSAUR,,30,SWEET_SCENT
3,VENUSAUR,,37,SYNTHESIS
3,VENUSAUR,,44,WORRY_SEED
3,VENUSAUR,,51,POWER_WHIP
3,VENUSAUR,,58,SOLAR_BEAM
4,CHARMANDER,,1,SCRATCH
4,CHARMANDER,,1,GROWL
4,CHARMANDER,,4,EMBER
4,CHARMANDER,,8,SMOKESCREEN
4,CHARMANDER,,12,DRAGON_BREATH
4,CHARMANDER,,17,FIRE_FANG
4,CHARMANDER,,20,SLASH
4,CHARMANDER,,24,FLAMETHROWER
4,CHARMANDER,,28,SCARY_FACE
4,CHARMANDER,,32,FIRE_SPIN
4,CHARMANDER,,36,INFERNO
4,CHARMANDER,,40,FLARE_BLITZ
5,CHARMELEON,,1,SCRATCH
5,CHARMELEON,,1,GROWL
5,CHARMELEON,,1,EMBER
5,CHARMELEON,,1,SMOKESCREEN
5,CHARMELEON,,1,FIRE_SPIN
5,CHARMELEON,,12,DRAGON_BREATH
5,CHARMELEON,,19,FIRE_FANG
5,CHARMELEON,,24,SLASH
5,CHARMELEON,,30,FLAMETHROWER
5,CHARMELEON,,37,SCARY_FACE
5,CHARMELEON,,48,INFERNO
5,CHARMELEON,,54,FLARE_BLITZ
6,CHARIZARD,,EVOLVE_MOVE,AIR_SLASH
6,CHARIZARD,,1,SCRATCH
6,CHARIZARD,,1,GROWL
6,CHARIZARD,,1,EMBER
6,CHARIZARD,,1,SMOKESCREEN
6,CHARIZARD,,1,HEAT_WAVE
6,CHARIZARD,,1,DRAGON_CLAW
6,CHARIZARD,,12,DRAGON_BREATH
6,CHARIZARD,,19,FIRE_FANG
6,CHARIZARD,,24,SLASH
6,CHARIZARD,,30,FLAMETHROWER
6,CHARIZARD,,39,SCARY_FACE
6,CHARIZARD,,46,FIRE_SPIN
6,CHARIZARD,,54,INFERNO
6,CHARIZARD,,62,FLARE_BLITZ
7,SQUIRTLE,,1,TACKLE
7,SQUIRTLE,,1,TAIL_WHIP
7,SQUIRTLE,,3,WATER_GUN
7,SQUIRTLE,,6,WITHDRAW
7,SQUIRTLE,,9,RAPID_SPIN
7,SQUIRTLE,,12,BITE
7,SQUIRTLE,,15,WATER_PULSE
7,SQUIRTLE,,18,PROTECT
7,SQUIRTLE,,21,RAIN_DANCE
7,SQUIRTLE,,24,AQUA_TAIL
7,SQUIRTLE,,27,SHELL_SMASH
7,SQUIRTLE,,30,IRON_DEFENSE
7,SQUIRTLE,,33,HYDRO_PUMP
7,SQUIRTLE,,36,WAVE_CRASH
8,WARTORTLE,,1,TACKLE
8,WARTORTLE,,1,TAIL_WHIP
8,WARTORTLE,,1,WATER_GUN
8,WARTORTLE,,1,WITHDRAW
8,WARTORTLE,,9,RAPID_SPIN
8,WARTORTLE,,12,BITE
8,WARTORTLE,,15,WATER_PULSE
8,WARTORTLE,,20,PROTECT
8,WARTORTLE,,25,RAIN_DANCE
8,WARTORTLE,,30,AQUA_TAIL
8,WARTORTLE,,35,SHELL_SMASH
8,WARTORTLE,,40,IRON_DEFENSE
8,WARTORTLE,,45,HYDRO_PUMP
8,WARTORTLE,,50,WAVE_CRASH
9,BLASTOISE,,EVOLVE_MOVE,FLASH_CANNON
9,BLASTOISE,,1,TACKLE
9,BLASTOISE,,1,TAIL_WHIP
9,BLASTOISE,,1,WATER_GUN
9,BLASTOISE,,1,WITHDRAW
9,BLASTOISE,,9,RAPID_SPIN
9,BLASTOISE,,12,BITE
9,BLASTOISE,,15,WATER_PULSE
9,BLASTOISE,,20,PROTECT
9,BLASTOISE,,25,RAIN_DANCE
9,BLASTOISE,,30,AQUA_TAIL
9,BLASTOISE,,35,SHELL_SMASH
9,BLASTOISE,,42,IRON_DEFENSE
9,BLASTOISE,,49,HYDRO_PUMP
9,BLASTOISE,,56,WAVE_CRASH
10,CATERPIE,,1,TACKLE
10,CATERPIE,,1,STRING_SHOT
10,CATERPIE,,9,BUG_BITE
11,METAPOD,,EVOLVE_MOVE,HARDEN
11,METAPOD,,RELEARN_MOVE,TACKLE
11,METAPOD,,RELEARN_MOVE,STRING_SHOT
11,METAPOD,,RELEARN_MOVE,BUG_BITE
11,METAPOD,,1,HARDEN
12,BUTTERFREE,,EVOLVE_MOVE,GUST
12,BUTTERFREE,,1,TACKLE
12,BUTTERFREE,,1,STRING_SHOT
12,BUTTERFREE,,1,HARDEN
12,BUTTERFREE,,1,BUG_BITE
12,BUTTERFREE,,4,SUPERSONIC
12,BUTTERFREE,,8,CONFUSION
12,BUTTERFREE,,12,POISON_POWDER
12,BUTTERFREE,,12,STUN_SPORE
12,BUTTERFREE,,12,SLEEP_POWDER
12,BUTTERFREE,,16,PSYBEAM
12,BUTTERFREE,,20,WHIRLWIND
12,BUTTERFREE,,24,AIR_SLASH
12,BUTTERFREE,,28,SAFEGUARD
12,BUTTERFREE,,32,BUG_BUZZ
12,BUTTERFREE,,36,TAILWIND
12,BUTTERFREE,,40,RAGE_POWDER
12,BUTTERFREE,,44,QUIVER_DANCE
13,WEEDLE,,1,POISON_STING
13,WEEDLE,,1,STRING_SHOT
13,WEEDLE,,9,BUG_BITE
14,KAKUNA,,EVOLVE_MOVE,HARDEN
14,KAKUNA,,RELEARN_MOVE,POISON_STING
14,KAKUNA,,RELEARN_MOVE,STRING_SHOT
14,KAKUNA,,RELEARN_MOVE,BUG_BITE
14,KAKUNA,,1,HARDEN
15,BEEDRILL,,EVOLVE_MOVE,TWINEEDLE
15,BEEDRILL,,1,POISON_STING
15,BEEDRILL,,1,STRING_SHOT
15,BEEDRILL,,1,HARDEN
15,BEEDRILL,,1,BUG_BITE
15,BEEDRILL,,1,FURY_ATTACK
15,BEEDRILL,,11,FURY_CUTTER
15,BEEDRILL,,14,RAGE
15,BEEDRILL,,17,PURSUIT
15,BEEDRILL,,20,FOCUS_ENERGY
15,BEEDRILL,,23,VENOSHOCK
15,BEEDRILL,,26,ASSURANCE
15,BEEDRILL,,29,TOXIC_SPIKES
15,BEEDRILL,,32,PIN_MISSILE
15,BEEDRILL,,35,POISON_JAB
15,BEEDRILL,,38,AGILITY
15,BEEDRILL,,41,ENDEAVOR
15,BEEDRILL,,44,FELL_STINGER
16,PIDGEY,,1,TACKLE
16,PIDGEY,,5,SAND_ATTACK
16,PIDGEY,,9,GUST
16,PIDGEY,,13,QUICK_ATTACK
16,PIDGEY,,17,WHIRLWIND
16,PIDGEY,,21,TWISTER
16,PIDGEY,,25,FEATHER_DANCE
16,PIDGEY,,29,AGILITY
16,PIDGEY,,33,WING_ATTACK
16,PIDGEY,,37,ROOST
16,PIDGEY,,41,TAILWIND
16,PIDGEY,,45,AERIAL_ACE
16,PIDGEY,,49,AIR_SLASH
16,PIDGEY,,53,HURRICANE
17,PIDGEOTTO,,1,GUST
17,PIDGEOTTO,,1,SAND_ATTACK
17,PIDGEOTTO,,1,TACKLE
17,PIDGEOTTO,,5,SAND_ATTACK
17,PIDGEOTTO,,9,GUST
17,PIDGEOTTO,,13,QUICK_ATTACK
17,PIDGEOTTO,,17,WHIRLWIND
17,PIDGEOTTO,,22,TWISTER
17,PIDGEOTTO,,27,FEATHER_DANCE
17,PIDGEOTTO,,32,AGILITY
17,PIDGEOTTO,,37,WING_ATTACK
17,PIDGEOTTO,,42,ROOST
17,PIDGEOTTO,,47,TAILWIND
17,PIDGEOTTO,,52,AERIAL_ACE
17,PIDGEOTTO,,57,AIR_SLASH
17,PIDGEOTTO,,62,HURRICANE
18,PIDGEOT,,1,GUST
18,PIDGEOT,,1,SAND_ATTACK
18,PIDGEOT,,1,TACKLE
18,PIDGEOT,,1,QUICK_ATTACK
18,PIDGEOT,,1,HURRICANE
18,PIDGEOT,,5,SAND_ATTACK
18,PIDGEOT,,9,GUST
18,PIDGEOT,,17,WHIRLWIND
18,PIDGEOT,,22,TWISTER
18,PIDGEOT,,27,FEATHER_DANCE
18,PIDGEOT,,32,AGILITY
18,PIDGEOT,,38,WING_ATTACK
18,PIDGEOT,,44,ROOST
18,PIDGEOT,,50,TAILWIND
18,PIDGEOT,,56,AERIAL_ACE
18,PIDGEOT,,62,AIR_SLASH
18,PIDGEOT,,68,HURRICANE
19,RATTATA,,1,TACKLE
19,RATTATA,,1,TAIL_WHIP
19,RATTATA,,4,QUICK_ATTACK
19,RATTATA,,7,FOCUS_ENERGY
19,RATTATA,,10,BITE
19,RATTATA,,13,LASER_FOCUS
19,RATTATA,,16,TAKE_DOWN
19,RATTATA,,19,ASSURANCE
19,RATTATA,,22,CRUNCH
19,RATTATA,,25,SUCKER_PUNCH
19,RATTATA,,28,SUPER_FANG
19,RATTATA,,31,DOUBLE_EDGE
19,RATTATA,,34,ENDEAVOR
20,RATICATE,,EVOLVE_MOVE,SCARY_FACE
20,RATICATE,,1,SWORDS_DANCE
20,RATICATE,,1,TACKLE
20,RATICATE,,1,TAIL_WHIP
20,RATICATE,,1,QUICK_ATTACK
20,RATICATE,,1,FOCUS_ENERGY
20,RATICATE,,10,BITE
